sample_id,catalyst_name,dye_name,bandgap_ev,surface_area_m2g,catalyst_dosage_gl,initial_dye_conc_mgl,ph,light_intensity_mwcm2,reaction_time_min,temperature_c,dye_molecular_weight,degradation_efficiency_percent
PCD-2021-0052,fe_cu_codoped_tio2,rhodamine_b,2.129,132.75,0.394,19.08,5.87,100.0,180,28.2,479.02,100.0
PCD-2022-0053,degussa_p25_tio2,methyl_orange,3.152,56.86,0.217,5.0,9.89,72.15,60,24.3,327.33,81.42
PCD-2023-0054,pure_anatase_tio2,ciprofloxacin,3.328,42.37,0.693,25.35,8.94,66.14,30,24.9,331.34,66.71
PCD-2018-0055,pure_rutile_tio2,tetracycline,2.986,10.0,3.231,5.0,6.82,17.39,45,28.3,444.43,77.44
PCD-2019-0056,n_doped_tio2,bisphenol_a,2.752,47.36,1.057,35.0,8.12,27.2,15,24.7,228.29,49.11
PCD-2020-0057,c_doped_tio2,phenol,2.451,75.04,0.271,11.85,5.88,14.15,30,24.0,94.11,55.87
PCD-2021-0058,s_doped_tio2,24_dichlorophenol,2.659,48.75,0.625,17.26,7.25,99.34,45,29.3,163.0,97.95
PCD-2022-0059,fe_doped_tio2,ibuprofen,2.413,85.8,0.288,17.25,2.4,12.12,240,31.8,206.28,97.95
PCD-2023-0060,cu_doped_tio2,malachite_green,2.356,93.67,1.208,24.71,4.66,8.52,240,21.2,364.91,95.71
PCD-2018-0061,rutile_n_doped_tio2,methylene_blue,2.568,14.18,0.202,22.18,8.82,76.38,90,28.3,319.85,100.0
PCD-2019-0062,rutile_fe_doped_tio2,rhodamine_b,2.369,34.02,0.807,36.47,2.98,76.69,90,32.0,479.02,96.03
PCD-2020-0063,n_fe_codoped_tio2,methyl_orange,2.104,119.41,3.545,6.01,8.13,33.73,45,22.6,327.33,100.0
PCD-2021-0064,n_c_codoped_tio2,ciprofloxacin,2.345,94.91,1.127,24.51,8.13,70.8,45,20.0,331.34,100.0
PCD-2022-0065,fe_cu_codoped_tio2,tetracycline,2.117,125.71,0.413,22.8,2.0,38.53,30,23.5,444.43,89.65
PCD-2023-0066,degussa_p25_tio2,bisphenol_a,3.207,57.64,0.409,20.11,3.54,81.04,240,22.0,228.29,100.0
PCD-2018-0067,pure_anatase_tio2,phenol,3.285,52.72,0.824,5.0,5.41,64.43,120,24.0,94.11,98.23
PCD-2019-0068,pure_rutile_tio2,24_dichlorophenol,3.075,10.0,2.188,7.58,8.16,62.43,90,22.6,163.0,98.55
PCD-2020-0069,n_doped_tio2,ibuprofen,2.67,60.79,0.975,5.0,7.72,43.24,240,29.7,206.28,100.0
PCD-2021-0070,c_doped_tio2,malachite_green,2.48,72.5,0.721,28.06,11.0,10.51,15,23.8,364.91,28.98
PCD-2022-0071,s_doped_tio2,methylene_blue,2.745,55.96,0.883,5.21,9.29,58.46,90,22.9,319.85,100.0
PCD-2023-0072,fe_doped_tio2,rhodamine_b,2.448,88.28,1.306,30.1,6.3,39.37,30,27.4,479.02,98.16
PCD-2018-0073,cu_doped_tio2,methyl_orange,2.402,79.9,0.194,32.87,6.11,39.31,60,22.2,327.33,97.05
PCD-2019-0074,rutile_n_doped_tio2,ciprofloxacin,2.7,32.18,1.503,35.68,6.78,58.16,120,20.5,331.34,93.02
PCD-2020-0075,rutile_fe_doped_tio2,tetracycline,2.409,56.44,0.856,21.09,8.45,62.03,240,26.1,444.43,100.0
PCD-2021-0076,n_fe_codoped_tio2,bisphenol_a,2.234,103.7,0.164,18.17,5.75,37.62,60,25.3,228.29,100.0
PCD-2022-0077,n_c_codoped_tio2,phenol,2.215,110.3,0.145,30.71,5.83,71.31,45,20.0,94.11,97.64
PCD-2023-0078,fe_cu_codoped_tio2,24_dichlorophenol,2.19,128.41,0.808,19.62,7.94,11.76,60,29.0,163.0,96.92
PCD-2018-0079,degussa_p25_tio2,ibuprofen,3.254,31.55,0.9,17.31,4.79,100.0,90,25.3,206.28,95.43
PCD-2019-0080,pure_anatase_tio2,malachite_green,3.134,39.33,0.605,31.29,4.13,86.63,240,21.4,364.91,100.0
PCD-2020-0081,pure_rutile_tio2,methylene_blue,2.987,30.04,0.695,5.0,4.52,20.56,15,26.0,319.85,28.31
PCD-2021-0082,n_doped_tio2,rhodamine_b,2.639,56.71,1.922,29.22,9.83,53.13,180,27.4,479.02,97.68
PCD-2022-0083,c_doped_tio2,methyl_orange,2.496,70.3,0.301,27.22,4.74,36.89,15,27.4,327.33,52.18
PCD-2023-0084,s_doped_tio2,ciprofloxacin,2.722,67.5,2.73,24.2,3.61,27.49,30,26.6,331.34,84.21
PCD-2018-0085,fe_doped_tio2,tetracycline,2.496,78.15,1.461,7.58,5.37,82.89,60,20.0,444.43,98.57
PCD-2019-0086,cu_doped_tio2,bisphenol_a,2.401,78.73,1.679,32.52,6.29,56.44,120,29.9,228.29,99.91
PCD-2020-0087,rutile_n_doped_tio2,phenol,2.583,38.46,0.118,23.08,3.58,16.3,120,28.7,94.11,66.0
PCD-2021-0088,rutile_fe_doped_tio2,24_dichlorophenol,2.493,41.03,1.483,31.51,9.69,53.17,15,27.0,163.0,71.76
PCD-2022-0089,n_fe_codoped_tio2,ibuprofen,2.251,114.73,0.285,36.21,10.14,24.91,90,27.6,206.28,95.86
PCD-2023-0090,n_c_codoped_tio2,malachite_green,2.357,90.81,0.449,34.55,7.29,44.44,90,20.0,364.91,97.56
PCD-2018-0091,fe_cu_codoped_tio2,methylene_blue,2.217,111.16,0.382,10.51,12.0,62.33,90,25.9,319.85,94.73
PCD-2019-0092,degussa_p25_tio2,rhodamine_b,3.194,37.68,1.574,21.45,7.75,23.78,30,24.8,479.02,65.57
PCD-2020-0093,pure_anatase_tio2,methyl_orange,3.199,63.12,0.326,25.0,8.07,22.81,30,29.6,327.33,34.37
PCD-2021-0094,pure_rutile_tio2,ciprofloxacin,2.967,21.64,0.689,30.1,8.38,82.15,15,31.4,331.34,56.7
PCD-2022-0095,n_doped_tio2,tetracycline,2.627,71.33,0.638,24.3,7.42,56.79,30,20.0,444.43,91.72
PCD-2023-0096,c_doped_tio2,bisphenol_a,2.482,61.81,0.198,26.16,9.71,41.01,180,25.1,228.29,99.92
PCD-2018-0097,s_doped_tio2,phenol,2.747,49.84,0.13,5.95,8.0,23.94,180,31.4,94.11,100.0
PCD-2019-0098,fe_doped_tio2,24_dichlorophenol,2.355,81.75,0.967,33.89,7.29,92.84,90,20.0,163.0,100.0
PCD-2020-0099,cu_doped_tio2,ibuprofen,2.386,85.47,1.383,14.83,9.82,100.0,240,23.2,206.28,97.97
PCD-2021-0100,rutile_n_doped_tio2,malachite_green,2.524,22.34,0.691,13.35,3.28,42.51,30,20.0,364.91,76.62
PCD-2022-0101,rutile_fe_doped_tio2,methylene_blue,2.398,32.34,0.488,9.29,8.37,45.86,240,20.9,319.85,100.0
PCD-2023-0102,n_fe_codoped_tio2,rhodamine_b,2.246,109.03,0.511,20.54,6.05,64.93,45,20.0,479.02,100.0
PCD-2018-0103,n_c_codoped_tio2,methyl_orange,2.274,89.01,0.265,13.63,9.38,85.51,120,22.1,327.33,100.0
PCD-2019-0104,fe_cu_codoped_tio2,ciprofloxacin,2.117,97.54,0.355,11.22,5.79,49.23,30,26.4,331.34,99.56
PCD-2020-0105,degussa_p25_tio2,tetracycline,3.233,70.1,0.173,5.0,4.49,72.1,30,20.2,444.43,62.18
PCD-2021-0106,pure_anatase_tio2,bisphenol_a,3.232,45.43,1.996,30.3,10.73,70.51,240,20.0,228.29,100.0
PCD-2022-0107,pure_rutile_tio2,phenol,3.012,18.06,0.959,28.2,8.01,76.67,180,30.8,94.11,97.21
PCD-2023-0108,n_doped_tio2,24_dichlorophenol,2.68,75.4,0.104,19.05,5.92,65.97,180,26.8,163.0,98.76
PCD-2018-0109,c_doped_tio2,ibuprofen,2.501,82.78,0.105,28.18,4.02,50.62,180,25.4,206.28,98.95
PCD-2019-0110,s_doped_tio2,malachite_green,2.709,66.86,0.498,17.64,8.11,32.4,120,25.9,364.91,100.0
PCD-2020-0111,fe_doped_tio2,methylene_blue,2.441,75.95,1.085,21.33,5.6,79.88,45,20.0,319.85,98.22
PCD-2021-0112,cu_doped_tio2,rhodamine_b,2.446,96.04,0.487,37.25,9.27,38.58,45,22.2,479.02,98.15
PCD-2022-0113,rutile_n_doped_tio2,methyl_orange,2.528,10.0,0.243,26.49,8.97,78.05,45,31.6,327.33,76.86
PCD-2023-0114,rutile_fe_doped_tio2,ciprofloxacin,2.372,41.63,1.196,10.71,7.71,42.8,240,29.8,331.34,98.97
PCD-2018-0115,n_fe_codoped_tio2,tetracycline,2.225,109.71,0.264,23.43,7.91,64.24,60,27.2,444.43,100.0
PCD-2019-0116,n_c_codoped_tio2,bisphenol_a,2.287,111.38,0.328,35.01,4.03,57.91,60,25.6,228.29,97.09
PCD-2020-0117,fe_cu_codoped_tio2,phenol,2.192,113.47,0.397,17.23,6.95,45.67,120,21.6,94.11,100.0
PCD-2021-0118,degussa_p25_tio2,24_dichlorophenol,3.237,59.4,0.226,28.46,7.33,27.21,180,37.0,163.0,91.01
PCD-2022-0119,pure_anatase_tio2,ibuprofen,3.256,62.82,0.108,22.08,2.92,43.82,15,21.6,206.28,12.63
PCD-2023-0120,pure_rutile_tio2,malachite_green,3.054,21.32,1.478,10.21,7.2,43.15,240,32.0,364.91,100.0
PCD-2018-0121,n_doped_tio2,methylene_blue,2.653,58.53,1.088,23.93,8.36,35.51,45,30.4,319.85,100.0
PCD-2019-0122,c_doped_tio2,rhodamine_b,2.49,91.56,1.325,31.72,5.84,49.4,60,23.2,479.02,100.0
PCD-2020-0123,s_doped_tio2,methyl_orange,2.648,49.71,1.347,19.76,11.28,93.19,120,27.2,327.33,100.0
PCD-2021-0124,fe_doped_tio2,ciprofloxacin,2.35,71.57,0.513,19.86,6.18,14.7,180,23.7,331.34,94.93
PCD-2022-0125,cu_doped_tio2,tetracycline,2.37,91.47,1.186,5.0,5.2,10.95,90,35.0,444.43,100.0
PCD-2023-0126,rutile_n_doped_tio2,bisphenol_a,2.523,38.17,0.951,24.39,4.45,11.28,30,31.9,228.29,53.23
PCD-2018-0127,rutile_fe_doped_tio2,phenol,2.42,23.14,2.018,14.5,5.66,49.36,120,30.9,94.11,99.4
PCD-2019-0128,n_fe_codoped_tio2,24_dichlorophenol,2.158,125.42,0.969,38.04,7.54,32.16,15,20.0,163.0,88.53
PCD-2020-0129,n_c_codoped_tio2,ibuprofen,2.277,98.47,2.9,5.0,6.46,5.0,120,26.3,206.28,99.46
PCD-2021-0130,fe_cu_codoped_tio2,malachite_green,2.093,125.88,0.333,21.15,4.41,12.19,45,29.2,364.91,84.95
PCD-2022-0131,degussa_p25_tio2,methylene_blue,3.261,49.1,1.411,30.3,7.48,43.52,30,24.0,319.85,68.88
PCD-2023-0132,pure_anatase_tio2,rhodamine_b,3.261,46.91,1.032,11.05,6.04,5.0,45,29.6,479.02,31.49
PCD-2018-0133,pure_rutile_tio2,methyl_orange,3.05,10.0,0.637,11.29,7.81,26.54,180,28.2,327.33,95.97
PCD-2019-0134,n_doped_tio2,ciprofloxacin,2.629,57.79,0.314,24.84,6.79,49.33,30,29.8,331.34,82.06
PCD-2020-0135,c_doped_tio2,tetracycline,2.478,70.67,2.238,31.06,9.37,65.97,90,20.0,444.43,100.0
PCD-2021-0136,s_doped_tio2,bisphenol_a,2.791,45.1,0.843,15.6,8.6,40.04,15,26.6,228.29,59.66
PCD-2022-0137,fe_doped_tio2,phenol,2.531,84.54,1.786,5.0,5.13,76.17,30,27.8,94.11,98.88
PCD-2023-0138,cu_doped_tio2,24_dichlorophenol,2.388,81.8,0.382,29.48,4.32,79.11,15,20.0,163.0,71.9
PCD-2018-0139,rutile_n_doped_tio2,ibuprofen,2.556,40.53,0.576,13.61,4.35,91.05,30,30.0,206.28,96.46
PCD-2019-0140,rutile_fe_doped_tio2,malachite_green,2.481,36.22,1.603,20.58,3.74,54.27,60,31.9,364.91,100.0
PCD-2020-0141,n_fe_codoped_tio2,methylene_blue,2.23,118.53,2.59,17.47,7.78,45.28,30,27.8,319.85,100.0
PCD-2021-0142,n_c_codoped_tio2,rhodamine_b,2.244,115.49,2.223,22.78,11.91,74.47,30,32.6,479.02,100.0
PCD-2022-0143,fe_cu_codoped_tio2,methyl_orange,2.12,104.13,0.204,25.5,5.06,52.63,180,20.0,327.33,100.0
PCD-2023-0144,degussa_p25_tio2,ciprofloxacin,3.167,41.77,1.453,18.5,7.95,5.0,180,25.6,331.34,82.68
PCD-2018-0145,pure_anatase_tio2,tetracycline,3.232,45.41,0.307,25.0,4.41,78.74,240,23.5,444.43,100.0
PCD-2019-0146,pure_rutile_tio2,bisphenol_a,3.075,10.0,1.153,9.42,7.87,72.31,15,26.2,228.29,56.35
PCD-2020-0147,n_doped_tio2,phenol,2.761,52.62,0.247,26.34,7.83,45.37,240,24.4,94.11,96.79
PCD-2021-0148,c_doped_tio2,24_dichlorophenol,2.463,75.59,0.338,8.1,5.91,54.09,15,21.0,163.0,81.48
PCD-2022-0149,s_doped_tio2,ibuprofen,2.784,49.46,1.043,23.03,5.93,9.42,120,27.8,206.28,93.45
PCD-2023-0150,fe_doped_tio2,malachite_green,2.385,63.68,0.466,35.81,9.32,11.21,90,21.2,364.91,83.81
PCD-2018-0151,cu_doped_tio2,methylene_blue,2.319,92.01,0.721,23.31,8.67,5.0,45,26.9,319.85,54.59
PCD-2019-0152,rutile_n_doped_tio2,rhodamine_b,2.534,24.88,0.425,21.13,5.35,54.04,90,27.7,479.02,96.54
PCD-2020-0153,rutile_fe_doped_tio2,methyl_orange,2.408,15.86,0.181,35.83,6.39,82.85,60,20.0,327.33,87.15
PCD-2021-0154,n_fe_codoped_tio2,ciprofloxacin,2.175,102.47,0.991,27.89,6.53,40.09,240,22.4,331.34,100.0
PCD-2022-0155,n_c_codoped_tio2,tetracycline,2.325,100.82,1.087,12.14,4.34,5.0,60,27.5,444.43,80.26
PCD-2023-0156,fe_cu_codoped_tio2,bisphenol_a,2.145,123.65,0.769,34.02,7.05,5.0,15,25.4,228.29,34.29
PCD-2018-0157,degussa_p25_tio2,phenol,3.246,47.1,1.72,25.68,8.2,37.32,90,23.8,94.11,99.81
PCD-2019-0158,pure_anatase_tio2,24_dichlorophenol,3.236,37.78,0.401,46.29,4.95,57.54,240,21.7,163.0,100.0
PCD-2020-0159,pure_rutile_tio2,ibuprofen,2.874,15.64,0.227,13.9,6.63,51.42,240,27.6,206.28,100.0
PCD-2021-0160,n_doped_tio2,malachite_green,2.602,72.26,0.1,15.41,7.1,44.23,180,23.9,364.91,100.0
PCD-2022-0161,c_doped_tio2,methylene_blue,2.507,66.63,3.392,14.36,6.18,40.82,45,21.5,319.85,100.0
PCD-2023-0162,s_doped_tio2,rhodamine_b,2.654,70.21,0.308,33.48,5.53,32.46,90,27.5,479.02,100.0
PCD-2018-0163,fe_doped_tio2,methyl_orange,2.398,77.91,1.841,6.33,6.55,20.75,120,20.0,327.33,98.78
PCD-2019-0164,cu_doped_tio2,ciprofloxacin,2.292,82.67,1.35,9.54,10.5,69.85,240,20.0,331.34,100.0
PCD-2020-0165,rutile_n_doped_tio2,tetracycline,2.599,30.79,0.193,5.0,11.12,20.17,60,24.8,444.43,65.75
PCD-2021-0166,rutile_fe_doped_tio2,bisphenol_a,2.338,34.43,1.67,32.06,7.99,47.08,15,30.7,228.29,81.63
PCD-2022-0167,n_fe_codoped_tio2,phenol,2.12,105.93,1.57,41.57,5.79,68.55,240,26.5,94.11,100.0
PCD-2023-0168,n_c_codoped_tio2,24_dichlorophenol,2.287,105.11,0.189,18.69,6.94,56.48,240,23.2,163.0,100.0
PCD-2018-0169,fe_cu_codoped_tio2,ibuprofen,2.083,110.28,0.444,26.8,9.32,38.71,90,22.8,206.28,100.0
PCD-2019-0170,degussa_p25_tio2,malachite_green,3.209,48.74,0.169,12.83,8.9,50.87,240,28.0,364.91,100.0
PCD-2020-0171,pure_anatase_tio2,methylene_blue,3.167,39.98,0.204,33.28,8.11,61.4,120,35.8,319.85,90.57
PCD-2021-0172,pure_rutile_tio2,rhodamine_b,3.034,14.27,0.197,9.33,8.66,49.31,240,27.7,479.02,100.0
PCD-2022-0173,n_doped_tio2,methyl_orange,2.632,56.61,2.206,14.05,4.44,6.56,15,20.0,327.33,31.58
PCD-2023-0174,c_doped_tio2,ciprofloxacin,2.462,72.11,0.648,25.12,4.58,78.39,180,29.2,331.34,97.56
PCD-2018-0175,s_doped_tio2,tetracycline,2.761,53.6,1.143,26.63,9.35,54.53,45,20.0,444.43,97.56
PCD-2019-0176,fe_doped_tio2,bisphenol_a,2.364,74.6,1.025,23.14,4.61,49.01,60,26.5,228.29,100.0
PCD-2020-0177,cu_doped_tio2,phenol,2.362,111.02,0.383,38.11,8.25,58.22,240,29.5,94.11,96.42
PCD-2021-0178,rutile_n_doped_tio2,24_dichlorophenol,2.588,38.27,1.183,22.47,6.29,65.26,45,31.4,163.0,98.34
PCD-2022-0179,rutile_fe_doped_tio2,ibuprofen,2.413,15.99,1.157,8.04,7.89,79.92,60,22.0,206.28,100.0
PCD-2023-0180,n_fe_codoped_tio2,malachite_green,2.204,113.12,0.109,23.19,8.65,69.95,60,20.6,364.91,97.76
PCD-2018-0181,n_c_codoped_tio2,methylene_blue,2.336,91.27,4.587,11.83,2.81,64.73,45,26.7,319.85,100.0
PCD-2019-0182,fe_cu_codoped_tio2,rhodamine_b,2.106,115.84,0.512,8.19,7.06,76.88,45,25.6,479.02,97.94
PCD-2020-0183,degussa_p25_tio2,methyl_orange,3.293,68.87,0.84,30.24,8.19,69.46,15,22.2,327.33,48.37
PCD-2021-0184,pure_anatase_tio2,ciprofloxacin,3.249,55.68,3.313,28.48,8.11,37.66,45,20.0,331.34,92.56
PCD-2022-0185,pure_rutile_tio2,tetracycline,2.964,10.0,0.174,24.8,4.27,54.75,15,27.9,444.43,18.54
PCD-2023-0186,n_doped_tio2,bisphenol_a,2.764,70.45,3.88,10.57,8.7,71.89,30,20.0,228.29,100.0
PCD-2018-0187,c_doped_tio2,phenol,2.429,58.26,0.121,21.41,3.46,58.08,30,24.3,94.11,66.45
PCD-2019-0188,s_doped_tio2,24_dichlorophenol,2.726,48.09,0.625,5.0,8.39,47.43,60,24.9,163.0,100.0
PCD-2020-0189,fe_doped_tio2,ibuprofen,2.533,75.43,1.26,23.55,4.8,59.88,240,22.1,206.28,99.04
PCD-2021-0190,cu_doped_tio2,malachite_green,2.349,93.86,3.046,13.07,4.86,5.0,15,22.4,364.91,48.2
PCD-2022-0191,rutile_n_doped_tio2,methylene_blue,2.605,13.69,0.524,27.37,6.44,51.67,180,27.6,319.85,100.0
PCD-2023-0192,rutile_fe_doped_tio2,rhodamine_b,2.381,35.42,0.646,32.54,5.32,65.27,15,27.3,479.02,74.26
PCD-2018-0193,n_fe_codoped_tio2,methyl_orange,2.119,121.65,0.197,15.73,5.92,65.82,180,22.8,327.33,100.0
PCD-2019-0194,n_c_codoped_tio2,ciprofloxacin,2.302,90.08,0.726,6.03,7.48,85.73,30,24.6,331.34,97.5
PCD-2020-0195,fe_cu_codoped_tio2,tetracycline,2.087,119.42,2.431,24.37,8.81,5.0,90,20.0,444.43,96.42
PCD-2021-0196,degussa_p25_tio2,bisphenol_a,3.25,46.98,0.452,22.24,2.73,49.09,90,22.6,228.29,81.27
PCD-2022-0197,pure_anatase_tio2,phenol,3.236,61.25,0.283,16.4,8.02,57.94,30,24.8,94.11,65.6
PCD-2023-0198,pure_rutile_tio2,24_dichlorophenol,3.101,12.32,0.366,13.03,9.53,38.42,180,30.2,163.0,96.38
PCD-2018-0199,n_doped_tio2,ibuprofen,2.715,59.32,2.77,21.13,4.12,72.98,60,21.7,206.28,97.16
PCD-2019-0200,c_doped_tio2,malachite_green,2.444,58.58,1.918,25.36,2.0,76.58,120,21.8,364.91,100.0
PCD-2020-0201,s_doped_tio2,methylene_blue,2.683,50.96,0.263,22.98,8.52,45.01,120,20.0,319.85,100.0
PCD-2021-0202,fe_doped_tio2,rhodamine_b,2.423,69.42,1.133,19.59,7.78,30.69,45,34.0,479.02,99.52
PCD-2022-0203,cu_doped_tio2,methyl_orange,2.31,90.96,1.663,21.68,9.64,24.84,45,30.7,327.33,99.8
PCD-2023-0204,rutile_n_doped_tio2,ciprofloxacin,2.637,13.9,1.469,11.6,7.14,76.05,240,29.2,331.34,100.0
PCD-2018-0205,rutile_fe_doped_tio2,tetracycline,2.388,26.33,0.222,13.37,2.94,69.09,240,31.3,444.43,100.0
PCD-2019-0206,n_fe_codoped_tio2,bisphenol_a,2.226,114.29,0.334,23.82,6.36,33.11,240,23.0,228.29,100.0
PCD-2020-0207,n_c_codoped_tio2,phenol,2.275,102.78,0.924,21.26,10.88,24.99,45,21.6,94.11,94.78
